Neighbourhood,Avg_price,Total_listings
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,539.05,22
ΖΑΠΠΕΙΟ,180.56,139
ΒΟΤΑΝΙΚΟΣ,178.92,63
ΝΕΟΣ ΚΟΣΜΟΣ,122.46,724
ΣΤΑΔΙΟ,121.7,223
ΑΚΡΟΠΟΛΗ,108.9,319
ΙΛΙΣΙΑ,102.48,170
ΚΟΛΩΝΑΚΙ,102.23,340
ΚΕΡΑΜΕΙΚΟΣ,100.74,240
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,99.35,1890
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,99.02,61
ΛΥΚΑΒΗΤΤΟΣ,91.22,114
ΘΗΣΕΙΟ,91.14,301
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,84.29,845
ΑΜΠΕΛΟΚΗΠΟΙ,77.81,326
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,77.44,701
ΣΕΠΟΛΙΑ,76.79,28
ΓΚΑΖΙ,76.41,82
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,75.2,35
ΝΕΑ ΚΥΨΕΛΗ,73.66,59
ΡΗΓΙΛΛΗΣ,73.33,3
ΠΕΤΡΑΛΩΝΑ,72.38,233
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,70.52,124
ΠΕΔΙΟ ΑΡΕΩΣ,66.1,80
ΠΑΓΚΡΑΤΙ,63.55,385
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,62.75,579
ΓΟΥΒΑ,56.94,53
ΓΟΥΔΙ,55.54,159
ΝΙΡΒΑΝΑ,54.02,104
ΚΥΨΕΛΗ,52.92,209
ΑΝΩ ΠΑΤΗΣΙΑ,47.79,58
ΠΑΤΗΣΙΑ,47.77,115
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,47.09,77
ΕΛΛΗΝΟΡΩΣΩΝ,45.14,44
ΚΟΛΩΝΟΣ,45.02,80
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,44.19,398
ΓΚΥΖΗ,44.06,88
ΠΟΛΥΓΩΝΟ,44,24
ΑΝΩ ΚΥΨΕΛΗ,42.61,72
ΠΡΟΜΠΟΝΑ,40.11,9
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,39.78,67
ΚΟΛΟΚΥΝΘΟΥ,38.67,18
ΡΙΖΟΥΠΟΛΗ,36.2,10
ΠΕΝΤΑΓΩΝΟ,33,2
neighbourhood,0,1
